شعير (جريش);69.6;1\3 cup;15
رز بني مسلوق ;29.5;1\3 cup;15
برغل;70;1\2 cup ;15
ذره;66.2;1\2 cup ;15
رقائق كورن فليكس;72.7;3\4 cup;15
بسكويت بالتمر;61.2;;
بسكويت بالشوكلاته;64.1;;
دونات ;51.4;;
كعك الفواكه ;61.2;;
شعير مطحون ومطبوخ ;57.4;;
نودلز مقلي ;11.3;;
نودلز مسلوق ;13;;
بان كيك محلى;35;;
بيتزا بالجبن ;38.3;;
فشار ;48.6;3 cups ;15
طحين الارز ;83.5;;
رز مسلوق ;24.4;1\3 cup;15
سباغتي مسلوقه ;20;1\2 cup ;15
سميد ني ;71;;
كعك اسفنجي;51;;
كعك اسفنجيبالمربى ;64.2;;
كعك سويسري اسطواني ;54;;
بلاليط (شعيريه);74.7;;
خبز عربي ;63.1;1\4 bread ;15
توست ابيض;55.9;1 slice ;15
جباتي ;85;;
خبز هندي براتا ;55;;
خبز رقاق ;79.8;;
لوز اخضر ;7.8;;
تفاح;11.5;;
مشمش مجفف ;69;;
مشمش طازج;12.7;;
موز ;25.1;;
توت ;16;;
كرز;13.8;;
ترنج;8.8;;
بلح (رطب);37.6;;
فواكه مجففه;68.1;;
تين مجفف;68;;
تين طازج;7.6;;
فواكه مشكله;7.2;;
فواكه معلبه بالشراب ;14.8;;
جريب فروت;9.4;;
عنب ;16.2;;
جوافه ;12;;
ليمون ;7.8;;
يوسف افندي ;11;;
فاكهة الليتشيه;14.3;;
مانجو ;16.9;;
شمام ;5.7;1 1\4 cup ;15
نبق;20.4;;
زيتون;0;;
برتقال حامض ;8.9;;
برتقال حلو;10;;
باباي ;7.2;;
خوخ;7.6;;
خوخ مجفف;70;;
خوخ معلب بالشراب ;14;;
كمثرى ;10;;
كمثرى معلبه بالشراب ;13.2;;
اناناس ;10.1;3 slices ;15
اناناس معلب بالشراب ;16.5;;
برقوق ;11.5;;
رمان ;14.7;;
سفرجل ;14.1;;
زبيب;69.3;;
توت العليق ;8.2;;
فراوله ;6;;
تمر هندي ;56.5;;
بطيخ ;6.1;1 1\4 cup ;15
خرشوف;2.7;;
هيليون;2;;
افوكادو;3.2;;
فاصوليا معلبه;15.1;;
ريحان;6.6;;
فول ;9.8;;
فول اخضر ;5.4;;
شمندر طازج;7.6;;
بروكلي طازج;1.7;;
كرنب (ملفوف ) طازج;4.1;;
كرنب (ملفوف)  مسلوق ;3.5;;
جزر طازج ;7.9;;
جزر مسلوق ;4.9;;
قرنبيط;4;;
كرفس ;0.9;;
كراث طازج;4.8;;
كزبره طازجه;7.3;;
خيار ;3;;
باذنجان  طازج;5.1;;
زبدة ;صفر;;
جبن كريمي ;3.4;;
جبن حلوم ;8.2;;
جبن شيدر شرائح ;1;;
جبن أبيض ;1.5;;
زبادي بالفواكه ;14;;
قشطة ;12.7;;
لبنة;1;;
زبادي سادة ;5.4;;
حليب سائل كامل الدسم ;5.5;;
حليب مبخر ;9.7;;
عصير تفاح ;11.4;1\2 cup ;13.68
عصير مشمش ;11.7;1\2 cup ;14
عصير موز;21;1\2 cup ;25.2
عصير جزر ;5.7;1\2 cup ;6.84
عصير جوافه;6.8;1\2 cup ;8.16
عصير المانجو;15.9;1\2 cup ;19
عصير برتقال ;14.4;1\2 cup ;17.28
عصير أناناس ;14;1\2 cup ;16.8
عصير الفراولة;18.7;1\2 cup ;22.44
معجنات (فطائر) بالجبن;39.9;;
معجنات (فطائر) لبنة;35;;
معجنات (فطائر) سبانخ ;32.6;;
معجنات (فطائر) زعتر ;55.9;;
معجنات (فطائر) زعتر بالجبن;40.5;;
برغر لحم;22.8;;
برغر دجاج;23.7;;
برغر سمك;22.6;;
بطاطا مقلية;44.9;;
"قطع الدجاج ""نجتس""";13.6;;
بيتزا دجاج;26.3;;
بيتزا خضار;26.7;;
لازانيا;11.8;;
ثوم طازج;28.2;;
ورق العنب الطازج;15.6;;
خس طازج;2.2;;
نعناع طازج;7.9;;
خضروات مسلوقة;6.6;;
بامية مسلوقة;2.7;;
بطاطس مسلوقة;17;;
زيتون اخضر;2.8;;
بصل طازج;7.9;;
بصل مجفف;68.6;;
بقدونس طازج;7.2;;
باسلة مسلوقة;10;;
رقائق البطاطا;49.3;;
طحين البطاطس;75.6;1/4cup;15g
يقطين مسلوق;7.5;;
رجلة;3.8;;
فجل ابيض;5;;
سبانخ طازجة;3.5;;
قصب السكر;20.1;;
بطاطا حلوة;27.7;;
زعتر طازج;11.3;;
طماطم طازجة;4;;
معجون الطماطم;12.9;;
لفت طازج;4.9;;
فول ;53.7;;
حمص;56.7;;
طحين الحمص;58.5;1/3cup;15g
حلبه (حبوب);46.7;;
عدس مقشور;59;;
لوز;6.9;;
كاجو;22.3;;
جوز الهند;13;;
كريم جوز الهند;5.9;;
حليب جوز الهند;4.9;280ml;15g
بندق;6;;
بذور البطيخ;9.9;;
مكسرات منوعة;7.9;;
مكسرات منوعة مع الزبيب;31.5;;
زبدة الفول السوداني الناعمة;13.1;;
فول سوداني;12.5;;
صنوبر;2.4;;
فستق;15.5;;
بذور اليقطين;15.2;;
حمص;64.4;;
حب السمسم;0.9;;
بذور عباد الشمس (حب شمسي);18.6;;
جوز;3.3;;
كبدة العجل والدجاج والخروف مقلية بالطحين;14;;
ثوم طازج;28.2;;
ورق العنب الطازج;15.6;;
خس طازج;2.2;;
نعناع طازج;7.9;;
خضروات مسلوقة;6.6;;
بامية مسلوقة;2.7;;
بطاطس مسلوقة;17;;
زيتون اخضر;2.8;;
بصل طازج;7.9;;
بصل مجفف;68.6;;
بقدونس طازج;7.2;;
باسلة مسلوقة;10;;
رقائق البطاطا;49.3;;
طحين البطاطس;75.6;¼ cup;15g
يقطين مسلوق;7.5;;
رجلة;3.8;;
فجل ابيض;5;;
سبانخ طازجة;3.5;;
قصب السكر;20.1;;
بطاطا حلوة;27.7;;
زعتر طازج;11.3;;
طماطم طازجة;4;;
معجون الطماطم;12.9;;
لفت طازج;4.9;;
فول ;53.7;;
حمص;56.7;;
طحين الحمص;58.5;1/3 cup;15g
حلبه (حبوب);46.7;;
عدس مقشور;59;;
لوز;6.9;;
كاجو;22.3;;
جوز الهند;13;;
كريم جوز الهند;5.9;;
حليب جوز الهند;4.9;280ml;15g
بندق;6;;
بذور البطيخ;9.9;;
مكسرات منوعة;7.9;;
مكسرات منوعة مع الزبيب;31.5;;
زبدة الفول السوداني الناعمة;13.1;;
فول سوداني;12.5;;
صنوبر;2.4;;
فستق;15.5;;
بذور اليقطين;15.2;;
حمص;64.4;;
حب السمسم;0.9;;
بذور عباد الشمس (حب شمسي);18.6;;
جوز;3.3;;
كبدة العجل والدجاج والخروف مقلية بالطحين;14;;
